Depop Sales 10_01_2025 - 12_30_2025,,,,,,,,,,,,,,,,,,
Date of sale,Time of sale,Days to Sell,Date of listing,Brand,Description,Trend Tag,Size,Item price,Buyer shipping cost,Total,Depop Payments fee,Buyer Marketplace Fee,Boosting fee,Category,Refunded to buyer amount,Fees refunded to seller,Net Payout,Margin %
10/2/2025,4:00 PM,3,9/29/2025,Macy's,"Dark Wash Denim Vest 

Size: Small
Brand: Celebrity Pink (Macys)

- all buttons are functional
- stretchy material
- two front pockets

#macys #denimvest #cropped #streetwear #denimtop

dark wash denim cropped vest button-up stretchy fabric front pockets streetwear interview vest sleeveless fitted casual denim",y2k ,S,$12.00,$7.99,$19.99,$1.11,$1.30,$0.00,Coats and jackets,$0.00,$0.00,$17.58,87.94%
10/6/2025,8:35 PM,11,9/25/2025,J.Crew,"Green J.Crew Sweater

Size: Small

- cotton/wool blend (45% cotton 30% wool 20% polyamide)
- perfect fall sweater great for layering

[pit to pit: 17"" / length: 24"" / waist: 17"" / shoulder: 14"" / sleeve: 24""]

#jcrew #woolsweater #fallsweater #minimalist #cozy",minimal,S,$16.00,$7.99,$25.77,$1.30,$1.50,$0.00,Tops,$0.00,$0.00,$22.97,89.13%
10/7/2025,12:32 PM,4,10/3/2025,Other,"Black Leather Ankle Boots 

Size: 8
Brand: Circa

- Silver hardware
- 2.5"" heel
- great condition minimal wear on the sole
- perfect for a night out

#blackboots #pointedtoe #glam #nightout #booties",glam,US 8,$21.90,$7.99,$29.89,$1.44,$1.80,$0.00,Footwear,$0.00,$0.00,$26.65,89.16%
10/9/2025,12:54 AM,6,10/3/2025,Ariat,"Brown Leather Clogs with studded details 

Size: 8
Brand: Ariat

- minimal wear on sole staining on the interior from wear (pictured)
- 2"" platform
- studded design detailing
- slip on clogs

#clogs #boho #indie #casual #comfort",boho,US 8,$20.00,$7.99,$30.21,$1.45,$1.70,$2.24,Footwear,$31.91,$7.61,$0.52,1.72%
10/9/2025,1:24 PM,10,9/29/2025,Talbots,"Talbots Dark Wash Denim Jacket

Size: small

- Button up front (all buttons are functional)
- Two chest pockets and two waist pockets
- Perfect for fall weather

#talbots #denimjacket #minimalist #basics #fall

dark wash denim button-up jacket chest pockets waist pockets fall layer casual denim structured fit classic wash versatile style lightweight denim",minimal,S,$20.00,$9.99,$29.99,$1.44,$1.70,$1.60,Coats and jackets,$0.00,$0.00,$25.25,84.19%
10/12/2025,6:05 PM,3,10/9/2025,Zara,"Zara Green Striped Button Up

Size: medium

- metallic buttons (all functional)
- satin like fabric 
- perfect for office wear and business casual

#workwear #stripes #officewear #buttonup 

green striped satin fabric metallic buttons business casual office shirt button-down tailored fit smart wear professional style stylish stripes",workwear,M,$13.60,$6.49,$21.34,$1.15,$1.38,$1.09,Tops,$0.00,$0.00,$17.72,83.04%
10/14/2025,5:04 AM,4,10/10/2025,Madewell,"Madewell Black Long Sleeve Top

Size: xs

- orange and white stitching details
- tie back detail (adjustable)
- very lightweight (slightly sheer)

#madewell #minimalistic #casual halloween",minimal,XS,$10.20,$6.49,$17.75,$1.04,$1.21,$0.00,Tops,$0.00,$0.00,$15.50,87.32%
10/17/2025,1:46 AM,56,8/22/2025,MIA,"Chunky White Platform Loafers

Size: 6.5
Brand: MIA

Color: Cream upper with brown lug sole
Material: Faux leather with rubber outsole
Heel Height: Approx. 2.5""
Platform Height: Approx. 1""
Toe: Rounded
Condition: Gently worn – tread shows light use upper is near perfect

Light academia back to school preppy aesthetic

#platformloafers #chunkyloafers #backtoschool #loafers #90s",boho,US 6.5,$28.00,$7.99,$38.08,$1.71,$2.10,$2.88,Footwear,$0.00,$0.00,$31.39,82.43%
10/19/2025,1:44 PM,1,10/18/2025,Alfred Dunner,"Alfred Dunner Vintage Inspired Fleece Zip Up Jacket

Size: medium (petite)

- colorful floral pattern
- functional zipper
- high neck for warmth
- excellent condition

#fleecejacket #winter #vintage #90s #florals",vintage,M,$16.00,$9.99,$25.99,$1.31,$1.50,$1.28,Coats and jackets,$0.00,$0.00,$21.90,84.26%
10/19/2025,8:20 PM,1,10/18/2025,Old Navy,"Old Navy Belted Coat

Size: Medium

- dark navy color
- adjustable and removable belt
- peacoat style
- excellent condition

#oldnavy #minimalist #casual #winter #peacoat",preppy,M,$21.50,$13.99,$35.49,$1.62,$1.78,$1.72,Coats and jackets,$0.00,$0.00,$30.37,85.57%
10/22/2025,3:50 PM,3,10/19/2025,Steve Madden,"Steve Madden Square Toe Black and Cream Sneakers


Size: 7.5 

- soles are in great condition with some visible wear on the outsides
- leather upper
- everyday shoe casual streetwear basics

#stevemadden #vintage #streetwear #squaretoe #casual",y2k ,US 7.5,$30.00,$7.99,$37.99,$1.70,$2.20,$0.00,Footwear,$0.00,$0.00,$34.09,89.73%
10/24/2025,4:23 PM,3,10/21/2025,Other,"G.H Bass Burgundy Leather Penny Loafers

Size: 6

- Womens Whitney Weejuns Loafer (color: wine)
- retails $175
- excellent condition w/ little to no wearon soles

#ghbass #leatherloafers #pennyloafers #academia #preppy",preppy,US 6,$56.00,$7.99,$70.91,$2.79,$3.50,$5.12,Footwear,$0.00,$0.00,$59.50,83.91%
11/2/2025,5:04 PM,113,7/12/2025,Aerie,"Aerie Blue Cutout One Piece Swimsuit

Size: Medium
Brand: Aerie

- light blue ribbed one-piece swimsuit
- deep V neckline with cutout waist detail
- adjustable hook back closure
- never worn

#aerie #swimsuit #onepieceswimsuit #beach #vacation",resort,M,$12.00,$4.99,$16.99,$1.01,$1.30,$1.36,Swimwear,$0.00,$0.00,$13.32,78.40%
11/2/2025,5:50 PM,10,10/23/2025,Columbia Sportswear,"Y2K Striped Knit Sweater Turtleneck 

Size: xxl
Brand: columbia

- 100% cotton
- medium weight sweater perfect for fall/early winter
- excellent condition

#fall #stripes #granola #columbia #turtleneck",vintage,XXL,$14.90,$7.99,$24.52,$1.26,$1.44,$1.19,Tops,$0.00,$0.00,$20.63,84.14%
11/7/2025,4:02 PM,43,9/25/2025,LOFT,"Boho Cardigan with Bell Sleeves

Size: Small (petite)
Brand: LOFT

- no closures in the middle so only worn open
- perfect for the fall season and layering

#loft #bellsleeves #boho #cottage #fallcardigan",boho,S,$12.00,$7.99,$21.27,$1.15,$1.30,$0.00,Tops,$0.00,$0.00,$18.82,88.48%
11/8/2025,3:46 PM,29,10/10/2025,Liz Claiborne,"Corduroy Red Shoulder Bag

Brand: Liz Claiborne

- Cherry red corduroy fabric
- Brown faux leather strap
- Zipper closure w/ one large main pocket
- Small zipper pocket inside & 3 small open pockets inside

#lizclaiborne #minimalistic #cherryred #redbag #y2k",y2k ,,$13.50,$7.99,$22.87,$1.20,$1.38,$1.08,Accessories,$0.00,$0.00,$19.21,84.00%
11/17/2025,1:12 PM,22,10/26/2025,DKNY,"Brown Y2K Knit Sweater Turtleneck

Size: medium
Brand: DKNY

- button up collar 
- cable knit down the shoulder and sleeves
- except condition

#dkny #minimalist #turtleneck #wintersweater #classic",minimal,M,$18.00,$6.49,$24.49,$1.26,$1.60,$0.00,Tops,$0.00,$0.00,$21.63,88.32%
12/2/2025,2:59 AM,168,6/17/2025,Other,"Coquette Lace Tank Top

- size medium
- fabric is see through
- very lightweight material

#coquette #lace #preppy #fairycore",coquette,M,$9.60,$5.00,$15.90,$0.97,$1.18,$1.17,Tops,$0.00,$0.00,$12.58,79.12%
12/2/2025,4:22 PM,1,12/1/2025,Nautica,"Nautica Black Puffer Jacket w/ Faux Fur Hood

Size: Large

- Faux fur trim on hood (removable)
- Fitted quilted design
- Two zip front pockets

#nautica #puffercoat #winterjacket #puffer #furhood",minimal,L,$15.00,$7.99,$23.98,$1.24,$1.45,$1.84,Coats and jackets,$25.43,$5.52,-$0.46,-1.92%
12/8/2025,8:31 PM,5,12/3/2025,Dr. Martens,"Dr Marten Black Anistone Hi Biker Boots

- size 7 womens
- practically brand new only worn a few times

#drmartens #bikerboots #utility #docmartens #leatherboots",streetwear,US 7,$80.00,$7.99,$97.58,$3.67,$4.70,$7.04,Footwear,$0.00,$0.00,$82.17,84.21%
12/9/2025,12:31 AM,88,9/12/2025,White House Black Market,"Denim Tank Top

Size: 12
Brand: White House Black Market
[Measurements: pit to pit = 17.75"" / length - 13.5"" / waist = 16.5""]

- excellent condition 
- perfect for layering

#whbm #denim #y2k #casual #minimalist

denim tank layered top dark wash fitted minimalist style casual wear statement piece summer shirt vintage-inspired everyday basic",y2k ,12,$9.00,$9.99,$31.80,$1.50,$1.69,$0.00,Tops,$0.00,$0.00,$28.61,89.97%
12/9/2025,12:31 AM,1,12/8/2025,Johnny Was,"Johnny Was Boho Floral Patchwork Tee | Colorful V-Neck Festival Top

Size: Medium
Brand: Johnny Was Los Angeles

- floral patchwork design
- stretchy lightweight material
- boho vacation maximalist artsy

#johnnywas #boho #artsy #indie #maximalist",boho,M,$10.80,0,$10.80,$0.00,$0.00,$0.86,Tops,$0.00,$0.00,$9.94,92.04%
12/9/2025,10:20 PM,323,1/20/2025,J. Jill,"Navy Blue Knit Oversized Cardigan

Size: extra large
Brand: J.Jill

- oversized fit can be worn buttoned or unbuttoned

#knitcardigan #casual #oversized #wintersweater #minimalist",minimal,XL,$12.00,$7.99,$19.99,$1.11,$1.30,$1.60,Tops,$0.00,$0.00,$15.98,79.94%
12/17/2025,4:57 PM,26,11/21/2025,UNIQLO,"Uniqlo Yellow Turtleneck

Size: small

- heattech sweater perfect for winter 
- excellent condition 
- very soft material

#uniqlo #heattech #turtleneck #sweater #basics",minimal,S,$6.40,$6.49,$13.86,$0.91,$1.02,$0.51,Tops,$0.00,$0.00,$11.42,82.40%
12/20/2025,9:56 PM,0,12/20/2025,Hollister Co.,"Hollister Argyle Zip Up Hoodie

- size small
- the metal brand logo is detached on one side

#hollister #preppy #casual #zipup #argyle",preppy,S,$10.00,$7.99,$17.99,$1.04,$1.20,$0.80,Tops,$0.00,$0.00,$14.95,83.10%
12/21/2025,5:37 AM,27,11/24/2025,Other,"Green Long Sleeve Holiday Dress

Size: medium
Brand: Stile Collection

- Metallic ribbed fabric with a subtle shimmer
- Long sleeve mock neck top with flared cuffs (both with slight ruffling)
- Stretchy and form-fitting
- Lining so it's not see-through

#mididress #weddingguest #holiday #shimmer #specialoccasion",glam,M,$20.00,$6.49,$28.36,$1.39,$1.70,$0.00,Dresses,$0.00,$0.00,$25.27,89.10%
12/27/2025,3:38 AM,13,12/14/2025,Johnny Was,"Long Sleeve Floral Boho Top

Size: small
Brand: Johnny Was Los Angeles

- multicolor floral and stripe print
- v-neck long sleeve boho blouse
- lightweight stretch material

#johnnywas #boho #floraltop #maximalism",boho,S,$15.00,$6.49,$21.49,$1.16,$1.45,$0.00,Tops,$0.00,$0.00,$18.88,87.85%
